,,model,group,stimulus,parsed_sent,sent,human_judgment,,tregex_judgment
16,414,human,agreement_subj,The reporter %% are %%.,(S (NP (DT The) (NN reporter)) (VP (VBD claimed) (SBAR (IN that) (S (NP (JJ many) (NNS people)) (VP (VBP are) (VP (VBG staying) (ADVP (NN home)) (NP (DT these) (NNS days))))))) (. .)),The reporter claimed that many people are staying home these days.,1,,1
17,292,human,agreement_subj,The reporter %% are %%.,(S (NP (NP (DT The) (NN reporter)) (CC and) (NP (DT the) (NN president))) (VP (VBP are) (VP (VBG doing) (NP (DT the) (NN interview)))) (. .)),The reporter and the president are doing the interview.,1,,1
18,26,human,agreement_subj,The houses %% has %%.,(S (NP (NP (DT The) (NNS houses)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (PP (IN on) (NP (DT the) (NN beach) (NN side))))))) (VP (VBZ has) (NP (JJ wonderful) (NN view))) (. .)),The houses that was on the beach side has wonderful view.,0,,0
19,496,human,agreement_subj,The houses %% has %%.,(S (NP (DT The) (NNS houses) (CC and) (NNS apartments) (JJ front) (NN lawn)) (VP (VBZ has) (VP (VBN been) (VP (VBN mowed) (ADVP (RB recently))))) (. .)),The houses and apartments front lawn has been mowed recently.,0,,1
20,105,human,clause_VP-gerund,Giving up the violin %% predicted would %%.,(S (S (VP (VBG Giving) (PRT (RP up)) (NP (DT the) (NN violin)))) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD predicted) (SBAR (S (VP (MD would) (VP (VB be) (NP (DT the) (JJ last) (NN straw)))))))))) (. .)),Giving up the violin is what he predicted would be the last straw.,1,,1
21,120,human,clause_VP-gerund,Giving up the violin %% predicted would %%.,(S (S (VP (VBG Giving) (PRT (RP up)) (NP (DT the) (NN violin)))) (NP (PRP she)) (VP (VBD predicted) (SBAR (S (VP (MD would) (VP (VB be) (NP (DT a) (NN mistake))))))) (. .)),Giving up the violin she predicted would be a mistake.,1,,0
22,501,human,clause_VP-gerund,Improving the writing skill %% insisted should %%.,"(S (S (VP (VBG Improving) (NP (NP (DT the) (NN writing) (NN skill)) (PP (IN of) (NP (DT the) (NN student)))))) (, ,) (NP (DT the) (NN teacher)) (VP (VBD insisted) (MD should) (VP (VB be) (NP (NP (DT the) (NN priority)) (PP (IN of) (NP (DT the) (NN lesson)))))) (. .))","Improving the writing skill of the student, the teacher insisted should be the priority of the lesson.",0,,0
23,400,human,clause_VP-gerund,Improving the writing skill %% insisted should %%.,(S (S (VP (VBG Improving) (NP (NP (DT the) (NN writing) (NN skill)) (PP (IN of) (NP (DT the) (NNS students)))))) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (DT the) (JJ english) (NN teacher)) (VP (VBD insisted) (SBAR (S (VP (MD should) (VP (VB be) (NP (DT the) (JJ first) (NN priority)))))))))) (. .)),Improving the writing skill of the students is what the english teacher insisted should be the first priority.,1,,1
24,180,human,clause_VP-with-PP-adjunct,%% introduced into the classroom has %%.,(S (NP (NP (DT The) (NN turtle)) (SBAR (S (NP (PRP we)) (VP (VBD introduced) (PP (IN into) (NP (DT the) (NN classroom))))))) (VP (VBZ has) (ADVP (RB sadly)) (VP (VBN passed))) (. .)),The turtle we introduced into the classroom has sadly passed.,1,,1
25,71,human,clause_VP-with-PP-adjunct,%% introduced into the classroom has %%.,(S (NP (NP (DT The) (JJ new) (NN curriculum)) (VP (VBN introduced) (PP (IN into) (NP (DT the) (NN classroom))))) (VP (VBZ has) (VP (VBN improved) (NP (NN student) (NN engagement)))) (. .)),The new curriculum introduced into the classroom has improved student engagement.,1,,1
26,143,human,clause_VP-with-PP-adjunct,%% affected by the storms are %%.,(S (NP (NP (DT The) (NNS buildings)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (VP (VBN affected) (PP (IN by) (NP (DT the) (NNS storms)))))))) (VP (VBP are) (ADJP (JJ worth) (NP (NNS millions)))) (. .)),The buildings that was affected by the storms are worth millions.,1,,1
27,394,human,clause_VP-with-PP-adjunct,%% affected by the storms are %%.,(S (NP (NP (NNS Boats)) (VP (VBN affected) (PP (IN by) (NP (DT the) (NNS storms))))) (VP (VBP are) (VP (VBN damaged))) (. .)),Boats affected by the storms are damaged.,1,,1
28,232,human,clause_VP-with-adjunct-long,%% visited during the trip to the beautiful valley grew %%.,(S (NP (NP (DT The) (NNS cousins)) (SBAR (WHNP (WP who)) (S (VP (VBD visited) (PP (IN during) (NP (NP (DT the) (NN trip)) (PP (TO to) (NP (DT the) (JJ beautiful) (NN valley))))))))) (VP (VBD grew) (ADVP (RB much) (RBR closer) (RB together))) (. .)),The cousins who visited during the trip to the beautiful valley grew much closer together.,0,,1
29,500,human,clause_VP-with-adjunct-long,%% visited during the trip to the beautiful valley grew %%.,(S (NP (NP (DT The) (NN land)) (SBAR (S (NP (DT the) (NN couple)) (VP (VBD visited) (PP (IN during) (NP (NP (DT the) (NN trip)) (PP (TO to) (NP (DT the) (JJ beautiful) (NNP valley))))))))) (VP (VBD grew) (PP (IN in) (NP (NN abundance))) (PP (IN in) (NP (DT the) (JJ previous) (NNS years)))) (. .)),The land the couple visited during the trip to the beautiful valley grew in abundance in the previous years.,1,,1
30,320,human,clause_VP-with-adjunct-long,%% published by a local press that just formed last year has won %%.,(S (NP (NP (DT The) (NN news)) (VP (VBN published) (PP (IN by) (NP (NP (DT a) (JJ local) (NN press)) (SBAR (WHNP (WDT that)) (S (VP (ADVP (RB just)) (VBD formed) (NP (JJ last) (NN year))))))))) (VP (VBZ has) (VP (VBN won) (NP (DT the) (NN medal)))) (. .)),The news published by a local press that just formed last year has won the medal.,1,,1
31,336,human,clause_VP-with-adjunct-long,%% published by a local press that just formed last year has won %%.,(S (NP (NP (DT The) (NN article)) (VP (VBN published) (PP (IN by) (NP (NP (DT a) (JJ local) (NN press)) (SBAR (WHNP (WDT that)) (S (ADVP (RB just)) (VBD formed) (NP (JJ last) (NN year)))))))) (VP (VBZ has) (VP (VBN won) (NP (DT an) (NN award)))) (. .)),The article published by a local press that just formed last year has won an award.,1,,1
32,494,human,clause_VP-with-complement-long,%% brought out the plan for protecting the habitat of the endangered birds argued %%.,(S (NP (NP (NP (DT The) (NN senator)) (SBAR (WHNP (WP who)) (S (VP (VBD brought) (PRT (RP out)) (NP (NP (DT the) (NN plan)) (PP (IN for) (S (VP (VBG protecting) (NP (NP (DT the) (NN habitat)) (PP (IN of) (NP (DT the) (JJ endangered) (NNS birds)))))))))))) (VBD argued) (IN that) (NP (PRP it))) (MD would) (VB protect) (DT the) (JJ fragile) (NN wetland) (: ecosystem..)),The senator who brought out the plan for protecting the habitat of the endangered birds argued that it would protect the fragile wetland ecosystem..,1,,0
33,354,human,clause_VP-with-complement-long,%% brought out the plan for protecting the habitat of the endangered birds argued %%.,(S (NP (NP (DT The) (NN congresswoman)) (SBAR (WHNP (WP who)) (S (VP (VBD brought) (PRT (RP out)) (NP (NP (DT the) (NN plan)) (PP (IN for) (S (VP (VBG protecting) (NP (NP (DT the) (NN habitat)) (PP (IN of) (NP (DT the) (JJ endangered) (NNS birds)))))))))))) (VP (VBD argued) (SBAR (IN that) (S (NP (PRP they)) (VP (MD would) (VP (VB go) (ADJP (JJ extinct)) (SBAR (IN unless) (S (NP (NNP congress)) (VP (VBD passed) (NP (DT the) (NN plan)))))))))) (. .)),The congresswoman who brought out the plan for protecting the habitat of the endangered birds argued that they would go extinct unless congress passed the plan.,1,,1
34,247,human,clause_VP-with-complement-long,%% hosted the traveling exhibition featuring the work of a world-renowned photographer have %%.,(S (NP (NP (DT The) (NN group)) (SBAR (WHNP (WP who)) (S (VP (VBD hosted) (NP (NP (DT the) (VBG traveling) (NN exhibition)) (VP (VBG featuring) (NP (NP (DT the) (NN work)) (PP (IN of) (NP (DT a) (JJ world-renowned) (NN photographer)))))))))) (VP (VBP have) (VP (VBN published) (NP (DT a) (NN book)))) (. .)),The group who hosted the traveling exhibition featuring the work of a world-renowned photographer have published a book.,1,,1
35,281,human,clause_VP-with-complement-long,%% hosted the traveling exhibition featuring the work of a world-renowned photographer have %%.,(S (NP (DT The) (NN gallery)) (VP (VBD hosted) (NP (NP (DT the) (VBG traveling) (NN exhibition)) (VP (VBG featuring) (NP (NP (NP (DT the) (NN work)) (PP (IN of) (NP (DT a) (JJ world-renowned) (NN photographer)))) (VP (VBP have) (VP (VBN been) (NP (NP (DT the) (NN victim)) (PP (IN of) (NP (DT the) (NNP California) (NNS fires)))))))))) (. .)),The gallery hosted the traveling exhibition featuring the work of a world-renowned photographer have been the victim of the California fires.,0,,0
36,154,human,clause_VP-with-complement,%% owned the trademark began %%.,(S (NP (NP (DT The) (NN businessman)) (SBAR (WHNP (WP who)) (S (VP (VBD owned) (NP (DT the) (NN trademark)))))) (VP (VBD began) (S (VP (VBG suing) (NP (NNS people)) (PP (IN in) (NP (NN court))) (PP (IN for) (NP (NN infringement)))))) (. .)),The businessman who owned the trademark began suing people in court for infringement.,1,,1
37,152,human,clause_VP-with-complement,%% owned the trademark began %%.,(S (NP (NP (DT The) (NN company)) (SBAR (WHNP (WDT that)) (S (ADVP (RB now)) (VP (VBD owned) (NP (DT the) (NN trademark)))))) (VP (VBD began) (S (VP (TO to) (VP (VB exploit) (NP (PRP it)))))) (. .)),The company that now owned the trademark began to exploit it.,1,,1
38,170,human,clause_VP-with-complement,%% attended the conference gave %%.,(S (NP (NP (DT The) (JJ first) (NN person)) (SBAR (WHNP (WDT that)) (S (VP (VBD attended) (NP (DT the) (NN conference)))))) (VP (VBD gave) (NP (DT a) (NN speech))) (. .)),The first person that attended the conference gave a speech.,1,,1
39,273,human,clause_VP-with-complement,%% attended the conference gave %%.,(S (NP (NP (DT The) (NN attorney)) (SBAR (WHNP (WP who)) (S (VP (VBD attended) (NP (DT the) (NN conference)))))) (VP (VBD gave) (NP (NP (PRP$ his) (JJS best) (JJ public) (NN speech)) (ADVP (RB yet)))) (. .)),The attorney who attended the conference gave his best public speech yet.,1,,1
40,377,human,clause_VP,%% published won %%.,(S (NP (NP (DT The) (NN author)) (SBAR (S (NP (PRP we)) (VP (VBD published))))) (VP (VBD won) (NP (DT an) (NN award))) (. .)),The author we published won an award.,1,,1
41,431,human,clause_VP,%% published won %%.,(S (NP (NP (DT The) (NN book)) (SBAR (S (NP (PRP he)) (VP (VBD published))))) (VP (VBD won) (NP (JJ first) (NN prize))) (. .)),The book he published won first prize.,1,,1
42,444,human,clause_VP,%% drew explained %%.,(S (NP (NP (DT The) (NN image)) (SBAR (S (NP (DT the) (NN teacher)) (VP (VBD drew))))) (VP (VBD explained) (NP (DT the) (NN process)) (PP (TO to) (NP (DT the) (NNS students))) (ADVP (RB effectively))) (. .)),The image the teacher drew explained the process to the students effectively.,1,,1
43,374,human,clause_VP,%% drew explained %%.,(S (NP (DT The) (NN man)) (VP (VBD was) (ADJP (ADJP (JJ guilty)) (SBAR (S (NP (NNP drew)) (VP (VBD explained) (PP (TO to) (NP (DT the) (NN officer)))))))) (. .)),The man was guilty drew explained to the officer.,0,,0
44,39,human,clause_phrasal-verb-with-subj,%% the founder of the research institute has never dreamed of.,(S (NP (PRP They)) (VP (VBD made) (NP (NP (NNS discoveries)) (SBAR (WHNP (IN that)) (S (NP (NP (DT the) (NN founder)) (PP (IN of) (NP (DT the) (NN research) (NN institute)))) (VP (VBZ has) (ADVP (RB never)) (VP (VBN dreamed) (PP (IN of)))))))) (. .)),They made discoveries that the founder of the research institute has never dreamed of.,1,,1
45,262,human,clause_phrasal-verb-with-subj,%% the founder of the research institute has never dreamed of.,(S (NP (DT This)) (VP (VBZ is) (NP (NP (DT a) (NN level)) (PP (IN of) (NP (NN success))) (SBAR (S (NP (NP (DT the) (NN founder)) (PP (IN of) (NP (DT the) (NN research) (NN institute)))) (VP (VBZ has) (ADVP (RB never)) (VP (VBN dreamed) (PP (IN of)))))))) (. .)),This is a level of success the founder of the research institute has never dreamed of.,1,,0
46,409,human,clause_phrasal-verb-with-subj,%% the leadership team of the company should have focused on.,(S (NP (NP (DT The) (NN woman)) (PP (IN with) (NP (NP (NP (DT a) (NN decade)) (PP (IN of) (NP (NN experience)))) (NP (NP (DT the) (NN leadership) (NN team)) (PP (IN of) (NP (DT the) (NN company))))))) (VP (MD should) (VP (VB have) (VP (VBN focused) (PP (IN on))))) (. .)),The woman with a decade of experience the leadership team of the company should have focused on.,1,,0
47,343,human,clause_phrasal-verb-with-subj,%% the leadership team of the company should have focused on.,(S (NP (EX There)) (VP (VBD was) (NP (NP (DT a) (JJ huge) (NN problem)) (PP (IN in) (NP (DT the) (NN company))) (SBAR (WHNP (IN that)) (S (NP (NP (DT the) (NN leadership) (NN team)) (PP (IN of) (NP (DT the) (NN company)))) (VP (MD should) (VP (VB have) (VP (VBN focused) (PP (IN on))))))))) (. .)),There was a huge problem in the company that the leadership team of the company should have focused on.,1,,1
48,392,human,clause_phrasal-verb,%% relied on.,(S (NP (PRP He)) (VP (VBZ is) (RB not) (NP (NP (DT a) (NN person)) (SBAR (S (VP (TO to) (VP (VB be) (VP (VBN relied) (PP (IN on))))))))) (. .)),He is not a person to be relied on.,1,,1
49,220,human,clause_phrasal-verb,%% relied on.,(S (NP (PRP She)) (VP (MD could) (ADVP (RB always)) (VP (VB be) (VP (VBN relied) (PRT (IN on))))) (. .)),She could always be relied on.,1,,1
50,1,human,clause_phrasal-verb,%% turned down.,(S (NP (PRP he)) (VP (VBZ thinks) (SBAR (IN that) (S (NP (PRP it)) (VP (VBZ is) (DT a) (JJ good) (NN offer) (S (VP (TO to) (VP (VB turned) (PRT (RP down))))))))) (. .)),he thinks that it is a good offer to turned down.,0,,1
51,344,human,clause_phrasal-verb,%% turned down.,(S (NP (DT The) (NN bed)) (VP (VBZ is) (VP (VBN turned) (PRT (IN down)))) (. .)),The bed is turned down.,1,,1
52,86,human,clause_resultative-long,%% decision of selling the old car unwise.,(S (NP (PRP He)) (VP (VBD considered) (S (NP (NP (DT the) (NN decision)) (PP (IN of) (S (VP (VBG selling) (NP (DT the) (JJ old) (NN car)))))) (ADJP (JJ unwise)))) (. .)),He considered the decision of selling the old car unwise.,1,,1
53,193,human,clause_resultative-long,%% decision of selling the old car unwise.,(SQ (VBZ Is) (NP (NP (PRP$ your) (NN decision)) (PP (IN of) (S (VP (VBG selling) (NP (DT the) (JJ old) (NN car)))))) (ADJP (JJ unwise)) (. .)),Is your decision of selling the old car unwise.,1,,0
54,153,human,clause_resultative-long,%% results of the survey accessible to the public.,(NP (NP (NP (DT The) (NNS results)) (PP (IN of) (NP (DT the) (NN survey)))) (ADJP (JJ accessible) (PP (TO to) (NP (DT the) (NN public)))) (. .)),The results of the survey accessible to the public.,0,,0
55,294,human,clause_resultative-long,%% results of the survey accessible to the public.,(S (NP (PRP I)) (VP (VBD made) (S (NP (NP (DT the) (NNS results)) (PP (IN of) (NP (DT the) (NN survey)))) (ADJP (JJ accessible) (PP (TO to) (NP (DT the) (NN public)))))) (. .)),I made the results of the survey accessible to the public.,1,,1
56,341,human,clause_resultative,%% growth steady.,(S (NP (DT The) (NN factory) (NN output)) (VP (VBZ continues) (ADVP (RB forward)) (NN growth) (JJ steady)) (. .)),The factory output continues forward growth steady.,1,,0
57,287,human,clause_resultative,%% growth steady.,(S (NP (PRP I)) (VP (VBP 'm) (VP (VBG keeping) (S (NP (DT the) (NN growth)) (ADJP (JJ steady))))) (. .)),I'm keeping the growth steady.,1,,1
58,324,human,clause_resultative,%% town famous.,(S (NP (PRP He)) (VP (VBD made) (S (NP (DT the) (NN town)) (ADJP (JJ famous)))) (. .)),He made the town famous.,1,,1
59,471,human,clause_resultative,%% town famous.,(S (NP (PRP I)) (VP (VBP believe) (SBAR (S (NP (DT this) (NN festival)) (VP (MD will) (ADVP (RB someday)) (VP (VB make) (S (NP (DT this) (NN town)) (ADJP (JJ famous)))))))) (. .)),I believe this festival will someday make this town famous.,1,,1
60,239,human,coord_S,%% problem but no one took %%.,(S (S (NP (NP (PRP We)) (NP (DT all))) (VP (VBD saw) (NP (DT the) (NN problem)))) (CC but) (S (NP (DT no) (PRP one)) (VP (VBD took) (NP (NN action)) (SBAR (IN until) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB too) (JJ late))))))) (. .)),We all saw the problem but no one took action until it was too late.,1,,1
61,461,human,coord_S,%% problem but no one took %%.,(S (S (NP (PRP It)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ major) (NN problem)))))))) (CC but) (S (NP (DT no) (NN one)) (VP (VBD took) (NP (NN responsibility)) (PP (IN for) (S (VP (VBG solving) (NP (PRP it))))))) (. .)),It was going to be a major problem but no one took responsibility for solving it.,1,,1
62,207,human,coord_S,%% award and the film where she starred as a talented pianist has %%.,(S (S (NP (PRP He)) (VP (VBD won) (NP (DT the) (NN award)))) (CC and) (S (NP (NP (DT the) (NN film)) (SBAR (WHADVP (WRB where)) (S (NP (PRP she)) (VP (VBD starred) (PP (IN as) (NP (DT a) (JJ talented) (NN pianist))))))) (VP (VBZ has) (VP (VBN been) (VP (VBN nominated))))) (. .)),He won the award and the film where she starred as a talented pianist has been nominated.,1,,1
63,426,human,coord_S,%% award and the film where she starred as a talented pianist has %%.,(S (NP (NP (DT The) (NN award)) (CC and) (NP (NP (DT the) (NN film)) (SBAR (WHADVP (WRB where)) (S (NP (PRP she)) (VP (VBD starred) (PP (IN as) (NP (DT a) (JJ talented) (NN pianist)))))))) (VP (VBZ has) (VP (VBN been) (VP (VBN sold) (PP (TO to) (NP (NNS distributors)))))) (. .)),The award and the film where she starred as a talented pianist has been sold to distributors.,0,,0
64,51,human,coord_VP,%% standards and improved the %%.,(S (NP (PRP He)) (VP (VP (VBD raised) (NP (NNS standards))) (CC and) (VP (VBD improved) (NP (NP (DT the) (NN atmosphere)) (PP (IN of) (NP (DT the) (NN place)))))) (. .)),He raised standards and improved the atmosphere of the place.,1,,1
65,148,human,coord_VP,%% standards and improved the %%.,(S (NP (PRP He)) (VP (VP (VBD created) (NP (DT the) (NNS standards))) (CC and) (VP (VBD improved) (NP (NP (DT the) (NN execution)) (PP (IN of) (NP (PRP them)))))) (. .)),He created the standards and improved the execution of them.,1,,1
66,12,human,coord_VP,%% farm and joined a %%.,(S (NP (DT The) (NN man)) (VP (VP (VBD was) (ADVP (RB there)) (S (VP (TO to) (VP (NN farm))))) (CC and) (VP (VBD joined) (NP (DT a) (NN choir)))) (. .)),The man was there to farm and joined a choir.,1,,1
67,243,human,coord_VP,%% farm and joined a %%.,(S (NP (PRP I)) (VP (VP (VBD got) (ADJP (JJ tired) (PP (IN of) (NP (DT the) (NN farm))))) (CC and) (VP (VBD joined) (NP (NP (DT a) (NN volunteer) (NN organization)) (SBAR (S (VP (TO to) (VP (VB help) (S (VP (VB rescue) (NP (NNS cats))))))))))) (. .)),I got tired of the farm and joined a volunteer organization to help rescue cats.,1,,1
68,37,human,coord_either,%% either book a ticket from the official website of %%.,(S (NP (PRP You)) (VP (MD can) (VP (RB either) (VP (VB book) (NP (NP (DT a) (NN ticket)) (PP (IN from) (NP (NP (DT the) (JJ official) (NN website)) (PP (IN of) (NP (DT the) (NN venue))))))) (CC or) (VP (VB go) (PP (TO to) (NP (DT the) (NN box) (NN office))) (PP (IN in) (NP (NN person)))))) (. .)),You can either book a ticket from the official website of the venue or go to the box office in person.,1,,1
69,478,human,coord_either,%% either book a ticket from the official website of %%.,"(S (NP (PRP I)) (VP (VBD decided) (SBAR (S (NP (PRP I)) (VP (MD could) (VP (RB either) (VP (VB book) (NP (NP (DT a) (NN ticket)) (PP (IN from) (NP (NP (DT the) (JJ official) (NN website)) (PP (IN of) (NP (DT the) (NN venue))))))) (, ,) (CC or) (VP (VB try) (S (VP (TO to) (VP (VB find) (NP (DT a) (JJ scalped) (NN ticket)) (ADVP (RB somewhere) (RB else))))))))))) (. .))","I decided I could either book a ticket from the official website of the venue, or try to find a scalped ticket somewhere else.",1,,1
70,499,human,coord_either,%% either take a one-day bike trip along %%.,(S (NP (NP (PRP They)) (DT both)) (VP (VBD had) (NP (DT a) (NN choice) (S (VP (CC either) (VP (VB take) (NP (NP (DT a) (JJ one-day) (NN bike) (NN trip)) (PP (IN along) (NP (DT the) (NN beach))))) (CC or) (VP (VB walk) (NP (DT a) (NN hiking) (NN path))))))) (. .)),They both had a choice either take a one-day bike trip along the beach or walk a hiking path.,1,,1
71,242,human,coord_either,%% either take a one-day bike trip along %%.,(S (NP (PRP We)) (VP (MD could) (VP (RB either) (VP (VB take) (NP (NP (DT a) (JJ one-day) (NN bike) (NN trip)) (PP (IN along) (NP (DT the) (NN sea))))) (CC or) (VP (VB go) (ADVP (NN home))))) (. .)),We could either take a one-day bike trip along the sea or go home.,1,,1
72,83,human,coord_emb-NP,%% the symbols and the patterns carved on the surface of the clay bowl stood for.,(S (NP (DT The) (NN museum) (NN curator)) (VP (VBD explained) (SBAR (WHNP (WP what)) (S (NP (NP (DT the) (NNS symbols)) (CC and) (NP (NP (DT the) (NNS patterns)) (VP (VBN carved) (PP (IN on) (NP (NP (DT the) (NN surface)) (PP (IN of) (NP (DT the) (NN clay) (NN bowl)))))))) (VP (VBD stood) (PP (IN for)))))) (. .)),The museum curator explained what the symbols and the patterns carved on the surface of the clay bowl stood for.,1,,1
